District Code,Tehsil Code,Village Code,Village Name
162,00842,148642,जगजीवन पुर
162,00842,148783,जमालीपुर
162,00842,148852,जमुहा
162,00842,148593,जमुँही
162,00842,148672,जमौली
162,00842,148798,जरूहैालिया
162,00842,148782,जलोखर
162,00842,148559,जुआ
162,00842,148784,जैतपुर औरैया
162,00842,148640,जैतपुर फफूंद
162,00842,148813,जैतापुर
162,00842,148828,जौरा
162,00842,148794,ज्ञानपुर इमाम अली
162,00842,148781,टिकौली
162,00842,148563,टीकम पुर
162,00842,148615,डूङाहार
162,00842,148566,तर्रई
162,00842,148758,ताल्हेपुर
162,00842,148588,ताहरपुर
162,00842,148754,तिलकपुर
162,00842,148823,तुर्कीपुर चित्तर सिंह
162,00842,148657,तुर्कीपुर फफॅूद
162,00842,148576,तैय्यबपुर
162,00842,148611,दखलीपुर
162,00842,148561,दसरौरा
162,00842,148677,दहगाँव
162,00842,148777,दासपुर
162,00842,148809,दूधिया खेडा
162,00842,148655,देवर पुर
162,00842,148662,दौलतपुर
162,00842,148676,दौही
162,00842,148791,द्वारिकापुर औरैया
162,00842,148635,द्वारिकापुर फफूं द
162,00842,148818,धमसेनी
162,00842,148633,धर्मपुर
162,00842,148815,धौरेरा
162,00842,148632,नगला पाठक
162,00842,148835,नदूपुर
162,00842,148847,नन्दगाँव
162,00842,148816,नन्दनपुर
162,00842,148811,नरायनपुर
162,00842,148805,नरोत्तम पुर
162,00842,148771,नसीराबाद
162,00842,148627,नानपुर
162,00842,148747,निगड़ा
162,00842,148617,नियामतपुरबिहारी
162,00842,148564,नीदर पुर
162,00842,148666,नौली
162,00842,148762,पढीन
162,00842,148780,पन्हर
162,00842,148607,परघईपुर
162,00842,148579,परवाहा
162,00842,148573,पसईपुर केशम पुर
162,00842,148833,पातेपुर
162,00842,148605,पीपरपुर
162,00842,148844,पुरवा रहट
162,00842,148799,पुरुषोत्तमपुर
162,00842,148626,पुर्वा अजई
162,00842,148624,पुर्वा भवानी
162,00842,148796,पैगम्बरपुर
162,00842,148748,फतेहपुर करम
162,00842,148568,फतेहपुर बेनी
162,00842,148554,फतेहपुर रामू
162,00842,148557,फतेहपुर लखमी
162,00842,148587,फफूँदआराजीदरगाह
162,00842,148763,फरीदपुर
162,00842,148556,फूटाताल
162,00842,148765,बखरिया
162,00842,148575,बढ़ुआ
162,00842,217681,बदनपुर
162,00842,148613,बनारपुर
162,00842,148678,बबीना
162,00842,217683,बमुरीपुर
162,00842,148803,बरम्हूपुर
162,00842,148658,बरौआ
162,00842,148827,बहादुरपुर इगुठिया
162,00842,148822,बिरिया -औरैया
162,00842,148571,बिलन्दपुर
162,00842,148565,बुढानपुर
162,00842,148680,बूढ़ादाना
162,00842,148636,बेलाहार
162,00842,148790,भगवन्तपुर मुस्तकिल
162,00842,148846,भगौती पुर
162,00842,148598,भटपुरा
162,00842,148837,भड़ारी पुर
162,00842,148851,भदौरा मुस्तकिल
162,00842,148806,भरतपुर
162,00842,148834,भरसेन
162,00842,148572,भर्रापुर
162,00842,148843,भाऊपुर औरैया
162,00842,148583,भाऊपुर फफूद
162,00842,148721,भासौन
162,00842,148670,भियाँपुर
162,00842,148797,भीखमपुर
162,00842,217684,भीखापुर
162,00842,148560,भीखेपुर फफूँद
162,00842,148841,भैंरोपुर
162,00842,148649,भौनकपुर
162,00842,148848,मड़नई मुस्तकिल
162,00842,148801,मढ़ापुर
162,00842,148802,मधूपुर
162,00842,148845,मनेपुर औरैया
162,00842,148586,मनेपुर फफूँद
162,00842,148630,ममरेजपुर खाम
162,00842,148819,मरदाना
162,00842,148767,मलकपुर
162,00842,148660,महतेपुर
162,00842,148720,महमूदपुर दरियाव सिंह
162,00842,148740,महारथपुर
162,00842,148582,महाराजपुरबहादुरसिंह
162,00842,148764,माल्हेपुर
162,00842,148814,मिर्जापुर बैरमशाह
162,00842,148623,मिलक कनौती
162,00842,148553,मिलक बघुआ
162,00842,148651,मिलक मुढ़ी
162,00842,148619,मिलक रैदपुर
162,00842,148647,मिलक हुसेनपुरकलां
162,00842,148646,मिलक हुसेनपुर खुर्द
162,00842,148768,मिहौली
162,00842,148820,मीरपुर चिन्तामन
162,00842,148555,मुडैना रामदत्त
162,00842,148650,मुढ़ी
162,00842,148596,मेरखपुर
162,00842,148674,मैन पूठ
162,00842,148753,रजौहापुर
162,00842,148606,रतुआ
162,00842,148775,रसूलपुर हुलासराय
162,00842,148722,रहटौली
162,00842,148760,राजन्दाजपुर
162,00842,148653,रानीपुर
162,00842,148616,रामपुर बिहारी
162,00842,148779,राम पुर राम सहाय
162,00842,148810,राहतपुर
162,00842,148824,रुदौली
162,00842,148682,रुरुआ फफूँद
162,00842,148684,रुहेरी
162,00842,148620,रैदपुर
162,00842,148774,रौतियापुर
162,00842,148599,लखनपुर
162,00842,148590,लखनापुर
162,00842,148603,लहोखर
162,00842,148832,लुहियापुर
162,00842,148838,वरीपुर माफी
162,00842,148737,वाकरपुर
162,00842,148749,विक्रमपुर
162,00842,217673,विधूली (अहि.)
